title,year,author,director,studio
Uncle Tom's Cabin,1927,Harriet Beecher Stowe,Henry A. Pollard,Universal
Uncle Tom's Cabin parts 1-3,1910,Harriet Beecher Stowe,Frederick A. Thomson,Vitagraph
Uncle Tom's Cabin,1914,Harriet Beecher Stowe,William Robert Daly,World Producing Corp.
Joyce of the North Woods,1913,Harriet Comstock,Ashley Miller,Edison Company
Janet of the Dunes,1913,Harriet Comstock,Richard Ridgely,Edison Company
Silent Years,1921,Harriet Comstock,Louis Gasnier,R-C Pictures
The Place Beyond the Winds,1916,Harriet Comstock,Joseph De Grasse,Universal
A Son of the Hills,1917,Harriet Comstock,Harry Davenport,Vitagraph
Mother's Cry,1930,Helen Grace Carlisle,Hobart Henley,First National
Ramona,1936,Helen Hunt Jackson,Henry King,20th Century Fox
Ramona,1910,Helen Hunt Jackson,D.W. Griffith,Biograph
Ramona,1916,Helen Hunt Jackson,Donald Crisp,State Rights
Ramona,1928,Helen Hunt Jackson,Edwin Carewe,United Artists
Rebecca of Sunnybrook Farm,1932,Kate Douglas Wiggin,Alfred Santell,20th Century Fox
Rebecca of Sunnybrook Farm,1938,Kate Douglas Wiggin,Allan Dwan,20th Century Fox
Rebecca of Sunnybrook Farm,1917,Kate Douglas Wiggin,Marshall Neilan,Mary Pickford Company
Nobody's Kid,1921,Kate Langley Bosher,Howard Hickman,Robertson-Cole Pictures Corp
I Remember Mama,1948,Kathryn Forbes,George Stevens,RKO
The Silent Woman,1918,Lois Zellner,Herbert Blache,Metro Pictures
Lucy Gallant,1955,Margaret Cousins,Robert Parrish,Paramount
The Iron Woman,1916,Margaret Deland,Carl Harbaugh,Popular Plays and Players
The Awakening of Helena Richie,1916,Margaret Deland,John W. Noble,Rolfe Photoplays
Gone with the Wind,1939,Margaret Mitchell,Victor Fleming,Selznick International
Linda,1929,Margaret Prescott Montague,Dorothy Davenport,Mrs. Wallace Reid Productions
The Sun Comes Up,1949,Marjorie Kinnan Rawlings,Richard Thorpe,MGM
The Yearling,1946,Marjorie Kinnan Rawlings,Clarence Brown,MGM
Bright Road,1953,Mary Elizabeth Vroman,Gerald Mayer,MGM
My Friend Flicka,1943,Mary O'Hara,Harold Schuster,20th Century Fox
Thunderhead: Son of Flicka,1945,Mary O'Hara,Louis King,20th Century Fox
The Green Grass of Wyoming,1948,Mary O'Hara,Louis King,20th Century Fox
The Mountain Rat,1914,Mary Rider,James Kirkwood Sr.,Biograph
Sunshine Alley,1917,Mary Rider,John W. Noble,Goldwyn Pictures
False Evidence,1919,Mary Wilkins Freeman,Edwin Carewe,Metro Pictures
An Alabaster Box,1917,Mary Wilkins Freeman,Chester Withey,Vitagraph
Little Miss Smiles,1922,Myra Kelly,John Ford,Fox Film Corporation
The Vanishing Virginian,1942,Rebecca Yancey Williams,Frank Borzage,MGM
The Primrose Ring,1917,Ruth Sawyer,Robert Leonard,Jesse Lasky
Sparrows,1926,Winnifred Dunn,William Beaudine,United Artists
