title,year,author,director,studio
The Member of the Wedding,1953,Carson McCullers,Fred Zinnemann,Columbia
Tammy and the Bachelor,1957,Cid Ricketts Sumner,Joseph Pevney,Universal
The Hanging Tree,1959,Dorothy M. Johnson,Delmer Davies,Warner Bros
Cimarron,1960,Edna Ferber,Anthony Mann,MGM
Ice Palace,1960,Edna Ferber,Vincent Sherman,Warner Bros
So Big,1953,Edna Ferber,Robert Wise,Warner Bros
Giant,1956,Edna Ferber,George Stevens,Warner Bros
Pollyanna,1960,Eleanor H. Porter,David Swift,Disney
Has Anybody Seen My Gal,1952,Eleanor H. Porter,Douglas Sirk,Universal
Imitation of Life,1959,Fannie Hurst,Douglas Sirk,Universal
Back Street,1961,Fannie Hurst,David Miller,Universal
Freckles,1960,Gene Stratton-Porter,Andrew McLaglen,20th Century Fox
Tess of the Storm Country,1960,Grace Miller White,Paul Guilfoyle,20th Century Fox
Lucy Gallant,1955,Margaret Cousins,Robert Parrish,Paramount
Bright Road,1953,Mary Elizabeth Vroman,Gerald Mayer,MGM
